year,month,product,location,type,price_then,price_now
2026,August,Fayola,Website,Deal of the Week,2100.0,1700.0
2026,August,Luna,Website,Deal of the Week,1600.0,1200.0
2026,August,Remi,Website,Deal of the Week,2700.0,2300.0
2026,August,Sierra Handbag,Website,Deal of the Week,2700.0,2300.0
2026,February,Amaya,Sinza,Singles,3600.0,2600.0
2026,February,Antitheft,Sinza,Special Offers,2700.0,2300.0
2026,February,Arm band,Sinza,Special Offers,1300.0,900.0
2026,February,Big Man Bag,Sinza,Singles,2200.0,1800.0
2026,February,Brief Case,Sinza,Singles,2900.0,2500.0
2026,February,Elyse,Sinza,Special Offers,3200.0,2800.0
2026,February,Fabela,Sinza,Special Offers,2500.0,2100.0
2026,February,Gym Bag,Sinza,Singles,2700.0,2300.0
2026,February,Jade,Sinza,Special Offers,3200.0,2800.0
2026,February,Jumbo,Sinza,Singles,3700.0,3300.0
2026,February,Kate,Sinza,Singles,1700.0,1300.0
2026,February,Man Bag,Sinza,Special Offers,1700.0,1300.0
2026,February,Mandy HB,Sinza,Special Offers,2100.0,1700.0
2026,February,Mega,Sinza,Singles,3100.0,2700.0
2026,February,Mini Umbra,Sinza,Special Offers,1700.0,1000.0
2026,February,Mini Zuri,Sinza,Singles,2700.0,2300.0
2026,February,Moon Bag,Sinza,Singles,1700.0,1300.0
2026,February,Nizana,Sinza,Special Offers,1700.0,1300.0
2026,February,Sleeve 2,Sinza,Singles,1700.0,800.0
2026,February,Standard Travel,Sinza,Special Offers,2700.0,2300.0
2026,January,Aria Sling,Sinza,Special Offers,1700.0,1300.0
2026,January,Avana HB,Sinza,Special Offers,2200.0,1800.0
2026,January,Bonita,Sinza,Special Offers,4000.0,3400.0
2026,January,Brief Case,Sinza,Special Offers,2900.0,2500.0
2026,January,Celine Sling Bag,Sinza,Special Offers,2200.0,1800.0
2026,January,Chase,Sinza,Singles,1600.0,1200.0
2026,January,Code 3,Sinza,Special Offers,2200.0,1800.0
2026,January,Elyse,Sinza,Singles,3100.0,2700.0
2026,January,Fabela,Sinza,Singles,2500.0,2100.0
2026,January,Jade,Sinza,Singles,3200.0,2800.0
2026,January,Mini Umbra,Sinza,Singles,1700.0,1300.0
2026,January,Monah BP,Sinza,Singles,2100.0,1700.0
2026,January,Moon Bag,Sinza,Special Offers,1700.0,1300.0
2026,January,Nizana,Sinza,Singles,1700.0,1300.0
2026,January,Remi,Sinza,Special Offers,2800.0,2400.0
2026,January,School Bag,Sinza,Singles,2200.0,1800.0
2026,January,Sleeve 2,Sinza,Special Offers,1700.0,1000.0
2026,January,Trecento,Sinza,Special Offers,2200.0,1800.0
2026,January,Voyage,Sinza,Singles,4000.0,3500.0
2026,January,Wander Luxe,Sinza,Singles,3200.0,2800.0
2026,July,Butterfly Sling,Busia,Deal of the Week,1600.0,1200.0
2026,July,Jamela,Busia,Deal of the Week,3600.0,3200.0
2026,July,Kai,Busia,Deal of the Week,2800.0,2400.0
2026,July,Liam,Busia,Deal of the Week,2100.0,1700.0
2026,July,Mini Zuri,Busia,Deal of the Week,2600.0,2200.0
